school_type,average_act
Regular School,21.4713064713065
Regular School,20.3968253968254
Regular School,16.0
Regular School,18.8827838827839
Regular School,18.3699633699634
Regular School,19.4
Regular School,17.8
Regular School,19.8
Regular School,22.4725274725275
Regular School,22.4041514041514
Regular School,19.6153846153846
Regular School,23.7912087912088
Regular School,20.3
Regular School,18.6874236874237
Regular School,20.7875457875458
Regular School,16.3
Regular School,14.95115995116
Regular School,16.7
Regular School,23.0586080586081
Regular School,23.1
Regular School,22.1
Regular School,19.9
Regular School,19.4200244200244
Regular School,22.4481074481074
Regular School,20.1282051282051
Regular School,19.2
Regular School,22.4725274725275
Regular School,22.7899877899878
Regular School,20.3724053724054
Regular School,24.0
Regular School,20.0
Regular School,19.8
Regular School,23.2539682539683
Regular School,22.9
Regular School,19.7
Regular School,20.6
Regular School,19.3
Regular School,19.2979242979243
Regular School,20.4456654456654
Regular School,23.4737484737485
Regular School,19.7
Regular School,22.7655677655678
Regular School,20.4945054945055
Regular School,22.008547008547
Regular School,19.6
Regular School,18.6385836385836
Regular School,15.9
Regular School,16.3919413919414
Regular School,19.0
Regular School,21.3492063492064
Regular School,19.0
Regular School,18.5164835164835
Regular School,16.4
Regular School,22.1062271062271
Regular School,16.953601953602
Regular School,22.4969474969475
Regular School,20.006105006105
Regular School,20.5
Regular School,18.6
Regular School,16.5
Regular School,22.2771672771673
Regular School,22.0
Regular School,21.7643467643468
Regular School,16.5140415140415
Regular School,17.6617826617827
Regular School,15.9
Regular School,19.2
Regular School,18.9
Regular School,16.8559218559219
Regular School,16.1721611721612
Regular School,16.8559218559219
Regular School,21.9352869352869
Regular School,17.7594627594628
Regular School,20.0
Regular School,21.5445665445665
Regular School,22.008547008547
Regular School,23.0
Regular School,23.4737484737485
Regular School,20.1037851037851
Regular School,18.7
Regular School,20.4945054945055
Regular School,21.3003663003663
Regular School,18.8095238095238
Regular School,22.8
Regular School,15.6349206349206
Regular School,24.1330891330891
Regular School,20.982905982906
Regular School,19.7863247863248
Regular School,20.5115995115995
Regular School,15.6105006105006
Regular School,20.0
Regular School,17.5641025641026
Regular School,21.1782661782662
Regular School,21.1
Regular School,22.2527472527473
Regular School,21.3247863247863
Regular School,20.3968253968254
Regular School,21.0
Regular School,20.0
Regular School,24.3284493284493
Regular School,29.1636141636142
Regular School,19.5909645909646
Regular School,14.8
Regular School,24.0
Regular School,23.3
Regular School,23.3028083028083
Regular School,21.007326007326
Regular School,15.5616605616606
Regular School,15.3418803418803
Regular School,21.1
Regular School,19.4249084249084
Regular School,24.3284493284493
Regular School,21.0
Regular School,22.2771672771673
Regular School,18.8827838827839
Regular School,23.4
Regular School,26.4
Regular School,14.8534798534799
Regular School,21.031746031746
Regular School,16.0
Regular School,17.5641025641026
Regular School,18.3260073260073
Regular School,21.7399267399267
Regular School,22.9
Regular School,21.959706959707
Regular School,20.5677655677656
Regular School,21.3
Regular School,21.2
Regular School,20.7631257631258
Regular School,21.9
Regular School,15.0488400488401
Regular School,21.2026862026862
Regular School,20.9096459096459
Regular School,20.3968253968254
Regular School,18.0769230769231
Regular School,20.1526251526252
Regular School,19.1025641025641
Regular School,19.6642246642247
Regular School,22.6
Regular School,20.7
Alternative School,18.6
Regular School,19.2979242979243
Regular School,22.0
Regular School,16.0
Regular School,20.2258852258852
Regular School,16.8315018315018
Regular School,23.0830280830281
Regular School,17.4
Regular School,19.4
Regular School,22.2527472527473
Regular School,18.2967032967033
